gene_name	Adrenal	Aorta	Esophagus	Fat	Gastric	Liver	Lung	Pancreas	Psoas	Right_ventricle	Colon	Small_intestines
ZKSCAN5	1.6919	0.0	1.4455	1.5795	1.3779	1.8088	2.8056	0.0	2.5273	1.861	0.0	0.0
ZMAT2	12.2934	14.4658	44.7432	35.9643	19.3139	27.3482	45.3373	11.0734	48.8828	44.4576	5.4786	5.2285
ZMAT3	0.0	2.7758	1.3659	1.0167	0.0	1.5801	1.7778	0.0	1.8982	1.3761	0.0	0.0
ZMAT4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZNF10	4.2134	4.2497	2.2844	2.3892	2.2336	1.3143	2.5277	3.8239	1.7266	1.948	0.0	0.0
ZNF100	0.0	0.0	0.0	1.9435	0.0	0.0	2.2182	0.0	0.0	0.0	0.0	0.0
ZNF101	1.9197	0.0	7.6233	2.3195	2.956	1.0972	4.8099	1.2547	1.3035	1.947	0.0	1.1162
ZNF107	0.0	0.0	1.027	0.0	0.0	0.0	1.1989	0.0	0.0	0.0	0.0	0.0
ZNF114	0.0	0.0	0.0	1.3043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZNF117	9.1952	0.0	3.0008	10.3036	2.7192	0.0	2.525	0.0	0.0	0.0	0.0	0.0
ZNF12	2.0724	1.8775	4.4204	4.6705	2.7272	3.0208	6.0153	1.8265	4.0382	4.7945	0.0	0.0
ZNF121	7.5355	2.5673	7.9573	6.3955	7.3046	2.4445	5.0871	3.5904	10.4671	5.3102	0.0	0.0
ZNF124	0.0	0.0	1.065	1.7877	0.0	0.0	1.728	0.0	0.0	0.0	0.0	0.0
ZNF131	10.8473	4.2806	11.0694	8.5289	10.3647	4.8137	8.8116	5.3177	9.8161	5.2201	1.1192	1.9207
ZNF132	0.0	0.0	0.0	1.1757	0.0	0.0	1.1401	0.0	1.5159	1.5217	0.0	0.0
ZNF133	17.927	5.8442	8.5012	5.4058	7.1155	2.919	4.8223	7.53	6.9568	4.6684	0.0	1.3657
ZNF134	1.0789	1.8618	3.9662	4.2444	1.8194	3.3714	5.4823	1.9111	3.2045	3.9878	0.0	0.0
ZNF135	1.029	1.7841	1.0331	1.3691	0.0	0.0	1.1592	1.3558	0.0	0.0	0.0	0.0
ZNF136	2.0429	1.1588	1.4263	1.7097	1.1928	0.0	2.4653	1.2592	1.1894	1.2535	0.0	0.0
ZNF137P	0.0	1.2154	0.0	1.2082	0.0	0.0	2.0623	0.0	0.0	0.0	0.0	0.0
ZNF138	3.0585	0.0	2.0738	1.462	1.7294	1.111	1.2504	0.0	2.3487	0.0	0.0	0.0
ZNF14	0.0	0.0	1.5209	1.4798	1.5509	0.0	1.5631	1.0014	0.0	1.2849	0.0	0.0
ZNF140	9.695	3.5773	6.5722	9.0565	5.6063	5.1222	7.1948	5.7345	3.8287	6.061	0.0	2.3168
ZNF141	3.3525	1.2191	1.3907	2.1944	1.6351	1.6501	2.002	1.555	0.0	1.0159	0.0	0.0
ZNF142	3.1288	2.149	3.3137	3.3893	1.3586	2.7913	4.1031	1.6569	3.9746	2.5005	0.0	0.0
ZNF143	2.4328	2.2997	9.4372	7.4143	6.435	3.8436	15.287	2.3278	17.7129	12.1758	1.2284	4.3183
ZNF146	7.0009	5.3691	16.2266	14.7131	7.9189	13.1236	20.9256	4.9478	25.6079	12.7829	1.5498	1.8525
ZNF148	1.0232	1.4491	3.1456	4.465	1.2658	4.8357	7.8262	1.3305	2.3245	1.9683	0.0	0.0
ZNF154	1.9525	1.284	0.0	0.0	0.0	0.0	1.3497	0.0	0.0	0.0	0.0	0.0
ZNF155	4.2106	2.0585	2.257	1.8698	1.8962	1.3972	2.3769	1.9633	1.0631	2.6552	0.0	0.0
ZNF157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
